Glucose (g/L),Lactate (g/L),Ethanol (g/L),Acetate (g/L),Biomass (g/L),Formate (g/L)
29.48035486,0.1946,0,0,0.0088795,0
29.71226542,0.1750666667,0,0,0.021476,0
29.27411768,0.2374333333,0,0,0.0456365,0
29.31537645,0.3032333333,0,0,0.1022175,0
35.02909272,0.5997222222,0,0,0.21889,0
33.38055548,1.381322222,0,0,0.475776,0
35.08525679,3.170777778,0,0,1.018045,0
33.76163237,6.372888889,0,0,1.980335,0
34.16362201,12.09494444,0,0,3.202815,0
32.79658519,20.07983333,0,0,3.896655,0
32.22485652,25.75016667,0,0,4.55539,0
30.74804191,30.17182222,0,0,5.08816,0
32.15979461,32.35337778,0,0,5.7407,0
26.04765917,39.6676,0,0,5.54246,0
20.59147016,42.82737778,0,0,5.56724,0
17.03618832,47.02692222,0,0,5.37313,0
12.93405775,50.10208889,0,0,4.77841,0
9.471324777,52.19247778,0,0,5.06751,0
6.931530088,54.67667778,0,0,5.34422,0
29.33895289,0,0,0,0.0121835,0
30.27883674,0,0,0,0.027258,0
30.00487398,0,0,0,0.044604,0
31.02336486,0,0,0,0.09086,0
30.14706938,0.192322222,0,0,0.1146075,0
30.90593605,0.267977778,0,0,0.113988,0
31.65664164,0.582633333,0,0,0.2810465,0
31.85347091,1.6165,0,0,0.5610605,0
31.48752602,2.951755556,0,0,1.12336,0
31.41776016,6.066633333,0,0,1.82959,0
31.40308156,11.43841111,0,0,2.835245,0
32.06004814,19.29963333,0,0,4.11761,0
31.24864454,22.7264,0,0,4.74124,0
20.90164771,34.42418889,0,0,5.0334375,0
17.82945619,38.58245556,0,0,5.38965,0
15.09651605,38.71337778,0,0,5.4929,0
11.58884048,43.03034444,0,0,5.2399375,0
9.97725478,42.61217778,0,0,5.3741625,0
8.251130649,44.41836667,0,0,6.8403125,0
6.319166059,45.64774444,0,0,7.23576,0
4.67805313,45.80457778,0,0,8.072085,0
3.240967087,47.2775,0,0,7.018935,0
1.829781124,50.23506667,0,0,7.960575,0
